Size,Channels, Thread, Time_s
512,16,1,0.190396
512,16,1,0.193185
512,32,1,0.38516
512,32,1,0.379482
512,32,1,0.382196
512,32,1,0.396666
512,32,1,0.386721
512,32,1,0.387745
512,32,1,0.387789
512,32,1,0.383696
512,32,1,0.396589
512,32,1,0.391225
512,32,1,0.397278
512,32,1,0.386632
512,32,1,0.389257
512,32,1,0.397134
512,32,1,0.431947
512,32,1,0.448328
512,32,1,0.407047
512,32,1,0.396033
512,32,1,0.39476
512,32,1,0.390077
512,32,1,0.403617
512,32,1,0.38309
512,32,1,0.384354
512,32,1,0.389514
512,32,1,0.388032
512,32,1,0.39342
512,32,1,0.394822
512,32,1,0.389512
512,32,1,0.399946
512,32,1,0.385157
512,32,1,0.388855
512,32,1,0.395451
512,32,1,0.384763
512,32,1,0.395496
512,32,1,0.477831
512,32,1,0.431697
512,32,1,0.485443
512,32,1,0.430342
512,32,1,0.398648
512,32,1,0.397919
512,32,1,0.489315
512,32,1,0.438898
512,32,1,0.441639
512,32,1,0.455978
512,32,1,0.467098
512,32,1,0.475269
512,32,1,0.483718
512,32,1,0.493376
512,32,1,0.474292
512,32,1,0.492237
512,64,1,0.920092
512,64,1,0.921482
512,64,1,0.913612
512,64,1,0.949875
512,64,1,0.886209
512,64,1,0.869296
512,64,1,0.762313
