Size,Channels, Thread, Time_s
1024,16,1,0.18055
1024,16,1,0.180346
1024,16,1,0.177476
1024,16,1,0.17783
1024,16,1,0.178609
1024,16,1,0.17967
1024,16,1,0.181619
1024,16,1,0.181633
1024,16,1,0.180656
1024,16,1,0.182153
1024,16,1,0.181065
1024,16,1,0.179618
1024,16,1,0.178461
1024,16,1,0.184247
1024,16,1,0.195657
1024,16,1,0.271406
1024,16,1,0.244664
1024,16,1,0.242734
1024,16,1,0.245166
1024,16,1,0.269003
1024,16,1,0.249856
1024,16,1,0.242485
1024,16,1,0.249236
1024,16,1,0.260906
1024,16,1,0.25761
1024,16,1,0.275829
1024,16,1,0.262237
1024,16,1,0.268904
1024,16,1,0.248344
1024,16,1,0.252212
1024,16,1,0.249539
1024,16,1,0.259551
1024,16,1,0.246295
1024,16,1,0.262534
1024,16,1,0.240958
1024,16,1,0.250944
1024,16,1,0.240876
1024,16,1,0.243805
1024,16,1,0.272213
1024,16,1,0.259154
1024,16,1,0.262099
1024,16,1,0.246412
1024,16,1,0.260214
1024,16,1,0.262693
1024,16,1,0.239702
1024,16,1,0.244084
1024,16,1,0.267311
1024,16,1,0.265212
1024,16,1,0.261634
1024,32,1,0.354988
1024,32,1,0.353948
1024,32,1,0.353969
1024,32,1,0.35474
1024,32,1,0.355177
1024,32,1,0.354683
1024,32,1,0.355057
1024,32,1,0.494614
1024,32,1,0.71958
1024,32,1,0.529162
1024,32,1,0.497147
1024,32,1,0.528657
1024,32,1,0.489279
1024,32,1,0.510616
1024,32,1,0.511057
1024,32,1,0.510487
1024,32,1,0.480296
1024,32,1,0.510036
1024,32,1,0.485151
1024,32,1,0.514328
1024,32,1,0.490223
1024,32,1,0.507744
1024,32,1,0.47677
1024,32,1,0.563138
1024,32,1,0.545837
1024,32,1,0.529106
1024,32,1,0.522648
1024,32,1,0.534305
1024,32,1,0.497927
1024,32,1,0.574219
1024,32,1,0.532801
1024,32,1,0.583945
1024,32,1,0.575974
1024,32,1,0.539175
1024,32,1,0.485346
1024,32,1,0.500175
1024,32,1,0.47745
1024,32,1,0.515177
1024,32,1,0.474031
1024,32,1,0.49284
1024,32,1,0.47269
1024,32,1,0.485686
1024,32,1,0.507878
1024,32,1,0.541102
1024,32,1,0.524985
1024,32,1,0.514034
1024,32,1,0.510944
1024,32,1,0.539804
1024,32,1,0.571754
1024,32,1,0.554335
1024,64,1,0.730027
1024,64,1,0.724117
1024,64,1,0.719209
1024,64,1,0.950774
1024,64,1,0.984491
1024,64,1,1.02964
1024,64,1,1.07836
1024,64,1,1.13592
1024,64,1,1.16634
1024,64,1,1.11376
1024,64,1,1.05352
1024,64,1,1.07993
1024,64,1,1.14977
1024,64,1,0.85431
1024,64,1,0.713979
1024,64,1,0.711707
1024,64,1,0.711272
1024,64,1,0.71234
1024,64,1,0.715067
1024,64,1,0.714954
1024,64,1,0.740657
1024,64,1,0.719886
1024,64,1,0.708879
1024,64,1,0.709838
1024,64,1,0.707241
1024,64,1,0.713663
1024,64,1,0.712456
1024,64,1,0.710396
1024,64,1,0.707277
1024,64,1,0.709406
1024,64,1,0.709654
1024,64,1,0.708225
1024,64,1,0.709632
1024,64,1,0.709594
1024,64,1,0.709683
1024,64,1,0.708138
1024,64,1,0.709592
1024,64,1,0.709666
1024,64,1,0.708097
1024,64,1,0.70967
1024,64,1,0.709586
1024,64,1,0.709727
1024,64,1,0.708048
1024,64,1,0.709592
1024,64,1,0.709911
1024,64,1,0.708434
1024,64,1,0.710557
1024,64,1,0.709679
1024,64,1,0.708285
1024,64,1,0.709578
1024,128,1,1.42292
1024,128,1,1.4232
1024,128,1,1.42373
1024,128,1,1.42256
1024,128,1,1.42471
1024,128,1,1.42336
1024,128,1,1.42466
1024,128,1,1.42342
1024,128,1,1.42492
1024,128,1,1.42389
1024,128,1,1.42249
1024,128,1,1.42437
1024,128,1,1.42234
1024,128,1,1.42262
1024,128,1,1.42342
1024,128,1,1.42288
1024,128,1,1.42855
1024,128,1,1.42124
1024,128,1,1.42035
1024,128,1,1.42585
1024,128,1,1.42514
1024,128,1,1.41993
1024,128,1,1.4195
1024,128,1,1.42689
1024,128,1,1.4191
1024,128,1,1.41933
1024,128,1,1.42018
1024,128,1,1.41926
1024,128,1,1.41979
1024,128,1,1.42326
1024,128,1,1.42
1024,128,1,1.41896
1024,128,1,1.41918
1024,128,1,1.42005
1024,128,1,1.41908
1024,128,1,1.41998
1024,128,1,1.41876
1024,128,1,1.41894
1024,128,1,1.42023
1024,128,1,1.41946
1024,128,1,1.42011
1024,128,1,1.42041
1024,128,1,1.42159
1024,128,1,1.4201
1024,128,1,1.41988
1024,128,1,1.42026
1024,128,1,1.43861
1024,128,1,1.42235
1024,128,1,1.41945
1024,128,1,1.41928
